Student ID,Problem_1,Problem_2,Problem_3,Report
2011190709,X,O,O,O
2014120299,X,X,X,X
2014120299,X,X,X,O
2016320116,O,O,O,O
2017170337,O,X,O,O
2018140572,O,X,O,X
2018190714,X,O,O,O
2018320166,O,O,X,O
2019140415,O,O,O,X
2019160044,O,O,O,O
2019320012,X,X,O,O
2019320020,O,X,X,O
2019320034,X,X,X,X
2019320038,O,X,O,O
2019320044,O,O,O,O
2019320061,O,X,O,O
2019320072,X,O,O,O
2019320088,O,O,X,O
2019320113,O,O,O,O
2019320120,X,X,X,O
2019320124,X,X,X,X
2019320134,O,O,O,O
2020190258,O,O,X,O
2020270634,X,O,O,O
2020320003,O,O,O,X
2020320005,X,X,X,O
2020320026,O,O,O,O
2020320043,O,O,O,O
2020320046,O,O,O,O
2020320047,O,O,O,O
2020320052,O,X,O,O
2020320054,O,X,X,X
2020320055,X,X,X,X
2020320056,O,X,O,O
2020320093,O,X,O,O
2020320098,O,O,O,O
2020320099,O,O,O,O
2020320112,O,O,O,O
2020320117,O,O,X,O
2020320119,O,X,O,O
2020320143,O,O,O,O
2020320149,X,X,O,O
2021240122,O,O,O,O
2021270111,O,O,O,O
2021320009,O,O,O,X
2021320049,X,X,X,X
2021320056,X,X,X,X
2021320059,X,X,X,O
2021320065,O,X,O,O
2021320077,O,X,O,O
2021320083,O,O,O,O
2021320087,O,O,O,O
2021320092,O,O,X,O
2021320108,O,O,O,O
2021320122,O,O,O,O
2021320133,O,O,O,O
2021320140,O,X,O,O
2021320141,X,X,X,X
2021320171,O,O,O,O
2021320311,O,O,O,O
2022130828,X,X,X,X
2022250413,O,O,O,O
2022320004,O,O,O,O
2022320015,X,X,X,O
2022320037,O,O,O,X
2022320039,X,X,X,X
2022320047,O,O,O,O
2022320057,O,O,O,O
2022320060,X,X,X,O
2022320088,O,O,O,O
2022320094,O,O,O,X
2022320097,O,O,O,O
2022320101,O,O,O,O
2022320118,O,O,O,X
2022320122,X,O,O,O
2022320124,O,O,O,O
2022320129,X,X,X,X
2022320142,O,O,O,O
2022320170,X,X,X,O
2023320049,X,X,O,O
2023320052,O,O,O,X
2023320119,O,O,O,O
2023320137,X,X,X,O
2023320151,O,X,O,O
2023320338,X,X,X,X
2024952152,X,X,X,O
2024952436,X,X,O,O
2024952841,O,O,O,O
2024962079,X,X,X,X
2024962131,X,X,X,X
2024962151,X,O,O,O
2024972019,O,O,O,X
2024ku0422,O,O,O,O
